DWWIN.EXE,0x3f49
Defrag.exe,0x6fa5
systray.exe,0x1551
nslookup.exe,0xcc45
wextract.exe,0x67cc
BdeUnlockWizard.exe,0x159f
schtasks.exe,0x17683
gpscript.exe,0x4771
qwinsta.exe,0x5250
iscsicli.exe,0x7f05
fc.exe,0x36ca
cscript.exe,0x30e6
verclsid.exe,0x12dd
makecab.exe,0x7655
takeown.exe,0x63e6
ditrace.exe,0x278d6
powershell.exe,0x7363
getmac.exe,0x7201
smss.exe,0xe940
resmon.exe,0x1563
lpksetup.exe,0x2e921
SetIEInstalledDate.exe,0xbd55
javaws.exe,0x10cd5
iscsicpl.exe,0x187a
MuiUnattend.exe,0xc020
rwinsta.exe,0x3efd
relog.exe,0x7384
svchost.exe,0x2104
logman.exe,0xb067
xlog.exe,0xfdc1
FXSCOVER.exe,0x1d916
IMJPMGR.EXE,0x2cc9
msfeedssync.exe,0x1e92
fsutil.exe,0xf4a9
mofcomp.exe,0x3556
net1.exe,0x2188
bcdboot.exe,0x917e
dpapimig.exe,0x2aeb
Setup.exe,0xb6b0
wksprt.exe,0x11d23
icardagt.exe,0x6ab8c
msoobe.exe,0x8d7f
scrcons.exe,0x4f9f
MdSched.exe,0x3965
PushPrinterConnections.exe,0x5abf
StikyNot.exe,0xaf4d
dfrgui.exe,0x141fa
rasdial.exe,0x10974
fveprompt.exe,0x2405
lpremove.exe,0x8a52
consent.exe,0x4709
DeviceProperties.exe,0x156a
FXSSVC.exe,0x5b701
sdiagnhost.exe,0x29fb
raserver.exe,0x10898
TCPSVCS.EXE,0x1835
esentutl.exe,0x13efe
mpnotify.exe,0x2603
qappsrv.exe,0x3f37
fontview.exe,0x4322
taskmgr.exe,0x8387
netsh.exe,0x3cbd
cleanmgr.exe,0x662d
mblctr.exe,0x1a11d
WmiApSrv.exe,0x3e1b
ARP.EXE,0x24e0
MdRes.exe,0x31b7
wscript.exe,0x2f3b
cacls.exe,0x4ff3
UserAccountControlSettings.exe,0x1d10
tsdiscon.exe,0x411e
sdbinst.exe,0x3edb
rdpclip.exe,0xa0dd
winrs.exe,0x771a
imjppdmg.exe,0x3a72
hdwwiz.exe,0x1616
msra.exe,0x2dcf1
hwrreg.exe,0x376e
Utilman.exe,0x60f8
TapiUnattend.exe,0x20c3
ntvdm.exe,0x5095
bcdedit.exe,0x12670
sigverif.exe,0x7185
PnPutil.exe,0x2c1e
verifier.exe,0x12103
MpSigStub.exe,0x49080
SystemPropertiesDataExecutionPrevention.exe,0x1492
mcbuilder.exe,0x1c16d
appidpolicyconverter.exe,0x4e6c
fsquirt.exe,0x672c
logagent.exe,0x8281
