This experiments try to test code with new format of datasetPacker names: ['pecompact']
File name: accesschk.exe
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: efsdump.exe, end-of-unpacking: a0x00424d26jmp_eax, predicted-end-of-unpacking: a0x00424d26jmp_eax, score: 0.9989035640650332
Final decision: False, Packer: pecompact, packer_identification: pecompact, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x01440e9epushl_edx, predicted-end-of-unpacking: a0x0041f202jmp_eax, score: 0.9989035640650332
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: ldmdump.exe, end-of-unpacking: a0x00425d26jmp_eax, predicted-end-of-unpacking: a0x00425d26jmp_eax, score: 0.9989035640650333
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: pendmoves.exe, end-of-unpacking: a0x0042530ejmp_eax, predicted-end-of-unpacking: a0x0042530ejmp_eax, score: 0.9989035640650333
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: OpenedFilesView.exe, end-of-unpacking: a0x0041fecejmp_eax, predicted-end-of-unpacking: a0x0041fecejmp_eax, score: 0.9987475498640261
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: psfile.exe, end-of-unpacking: a0x00426276jmp_eax, predicted-end-of-unpacking: a0x00426276jmp_eax, score: 0.9989035640650333
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: PsService.exe, end-of-unpacking: a0x004312b6jmp_eax, predicted-end-of-unpacking: a0x004312b6jmp_eax, score: 0.9989035640650333
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: notmyfaultc.exe, end-of-unpacking: a0x0045018ejmp_eax, predicted-end-of-unpacking: a0x0045018ejmp_eax, score: 0.9989035640650333
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: regjump.exe, end-of-unpacking: a0x0041f266jmp_eax, predicted-end-of-unpacking: a0x0041f266jmp_eax, score: 0.9989035640650333
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: pskill.exe, end-of-unpacking: a0x0044838ajmp_eax, predicted-end-of-unpacking: a0x0044838ajmp_eax, score: 0.9952949859925305
Final decision: False, Packer: pecompact, packer_identification: None, file_name: DriverView.exe, end-of-unpacking: a0x00380e9epushl_edx, predicted-end-of-unpacking: None, score: 0
