This experiments fix wrong packer namePacker names: ['MPRESS']
File name: accesschk.exe
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: ShareEnum.exe, end-of-unpacking: a0x00417cd5jmp_0x409013, predicted-end-of-unpacking: a0x00417cd5jmp_0x409013, score: 0.9998104926017874
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: pskill.exe, end-of-unpacking: a0x004169a3jmp_0x40763e, predicted-end-of-unpacking: a0x004169a3jmp_0x40763e, score: 0.9933743148722108
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: sdelete.exe, end-of-unpacking: a0x00413df4jmp_0x40699f, predicted-end-of-unpacking: a0x00413df4jmp_0x40699f, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: livekd.exe, end-of-unpacking: a0x004247f3jmp_0x00409663, predicted-end-of-unpacking: a0x004247f3jmp_0x00409663, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: notmyfault.exe, end-of-unpacking: a0x00412837jmp_0x404f25, predicted-end-of-unpacking: a0x00412837jmp_0x404f25, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: pssuspend.exe, end-of-unpacking: a0x00421923jmp_0x4074fe, predicted-end-of-unpacking: a0x00421923jmp_0x4074fe, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: HashCalc.exe, end-of-unpacking: a0x00466146jmp_0x411e58, predicted-end-of-unpacking: a0x00466146jmp_0x411e58, score: 0.9998104926017874
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: md5v11.exe, end-of-unpacking: a0x004064e3jmp_0x004039d8, predicted-end-of-unpacking: a0x004064e3jmp_0x004039d8, score: 0.7277396803674159
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: Diskmon.exe, end-of-unpacking: a0x0041351djmp_0x40b4b8, predicted-end-of-unpacking: a0x0041351djmp_0x40b4b8, score: 0.9998104926017874
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: LoadOrdC.exe, end-of-unpacking: a0x00417f69jmp_0x404de2, predicted-end-of-unpacking: a0x00417f69jmp_0x404de2, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: FullEventLogView.exe, end-of-unpacking: a0x0041183ajmp_0x411228, predicted-end-of-unpacking: a0x0041183ajmp_0x411228, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: procdump.exe, end-of-unpacking: a0x00429ec8jmp_0x004171e7, predicted-end-of-unpacking: a0x00429ec8jmp_0x004171e7, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: Desktops.exe, end-of-unpacking: a0x00411d1ajmp_0x4046c6, predicted-end-of-unpacking: a0x00411d1ajmp_0x4046c6, score: 0.9998694365573483
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: HWMonitorPro_x32.exe, end-of-unpacking: a0x00529e2fjmp_0x4cb60b, predicted-end-of-unpacking: a0x00529e2fjmp_0x4cb60b, score: 0.9998104926017874
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: pslist.exe, end-of-unpacking: a0x00418be4jmp_0x409bbe, predicted-end-of-unpacking: a0x00418be4jmp_0x409bbe, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: psfile.exe, end-of-unpacking: a0x00413c77jmp_0x4054a0, predicted-end-of-unpacking: a0x00413c77jmp_0x4054a0, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: dxwebsetup.exe, end-of-unpacking: a0x01009624jmp_0x01005a5e, predicted-end-of-unpacking: a0x01009624jmp_0x01005a5e, score: 0.9998544457126568
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: ntfsinfo.exe, end-of-unpacking: a0x00411ebejmp_0x4046af, predicted-end-of-unpacking: a0x00411ebejmp_0x4046af, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: PsInfo.exe, end-of-unpacking: a0x0041ab63jmp_0x40a0cf, predicted-end-of-unpacking: a0x0041ab63jmp_0x40a0cf, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: adrestore.exe, end-of-unpacking: a0x00407b87jmp_0x00402471, predicted-end-of-unpacking: a0x00407b87jmp_0x00402471, score: 0.9998544457126568
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: Procmon.exe, end-of-unpacking: a0x0048fdaajmp_0x004755cb, predicted-end-of-unpacking: a0x0048fdaajmp_0x004755cb, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: psshutdown.exe, end-of-unpacking: a0x00411b2ejmp_0x40677f, predicted-end-of-unpacking: a0x00411b2ejmp_0x40677f, score: 0.9986451813084826
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: sync.exe, end-of-unpacking: a0x00411fdejmp_0x4049fe, predicted-end-of-unpacking: a0x00411fdejmp_0x4049fe, score: 0.9999057607691948
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: PsExec.exe, end-of-unpacking: a0x0042789bjmp_0x409de6, predicted-end-of-unpacking: a0x0042789bjmp_0x409de6, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: notmyfaultc.exe, end-of-unpacking: a0x00414cdbjmp_0x405810, predicted-end-of-unpacking: a0x00414cdbjmp_0x405810, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: handle.exe, end-of-unpacking: a0x00416f47jmp_0x00407336, predicted-end-of-unpacking: a0x00416f47jmp_0x00407336, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: pagedfrg.exe, end-of-unpacking: a0x0040b16ejmp_0x00403d50, predicted-end-of-unpacking: a0x0040b16ejmp_0x00403d50, score: 0.9999456089008304
