This experiments fix wrong packer namePacker names: ['upx']
File name: accesschk.exe
Final decision: True, Packer: upx, packer_identification: upx, file_name: DiskView.exe, end-of-unpacking: a0x00593934jmp_0x0040c983, predicted-end-of-unpacking: a0x00593934jmp_0x0040c983, score: 0.990616838413864
Final decision: True, Packer: upx, packer_identification: upx, file_name: ru.exe, end-of-unpacking: a0x004252bbjmp_0x0040570c, predicted-end-of-unpacking: a0x004252bbjmp_0x0040570c, score: 0.993989342403017
Final decision: True, Packer: upx, packer_identification: upx, file_name: accesschk.exe, end-of-unpacking: a0x004c4b54jmp_0x0040c429, predicted-end-of-unpacking: a0x004c4b54jmp_0x0040c429, score: 0.9852734610159627
Final decision: True, Packer: upx, packer_identification: upx, file_name: PsService.exe, end-of-unpacking: a0x00431e43jmp_0x00407f52, predicted-end-of-unpacking: a0x00431e43jmp_0x00407f52, score: 0.9968190785566972
Final decision: True, Packer: upx, packer_identification: upx, file_name: Contig.exe, end-of-unpacking: a0x00471ba3jmp_0x00407f58, predicted-end-of-unpacking: a0x00471ba3jmp_0x00407f58, score: 0.9934293061290503
Final decision: True, Packer: upx, packer_identification: upx, file_name: pslist.exe, end-of-unpacking: a0x0042ef33jmp_0x00409bbe, predicted-end-of-unpacking: a0x0042ef33jmp_0x00409bbe, score: 0.9968190785566972
Final decision: True, Packer: upx, packer_identification: upx, file_name: procdump.exe, end-of-unpacking: a0x004a48ccjmp_0x004171e7, predicted-end-of-unpacking: a0x004a48ccjmp_0x004171e7, score: 0.9811194684146496
Final decision: True, Packer: upx, packer_identification: upx, file_name: md5summer.exe, end-of-unpacking: a0x004e5e93jmp_0x0049ec68, predicted-end-of-unpacking: a0x004e5e93jmp_0x0049ec68, score: 0.9892592070681
Final decision: True, Packer: upx, packer_identification: upx, file_name: LoadOrdC.exe, end-of-unpacking: a0x00434ac4jmp_0x00404de2, predicted-end-of-unpacking: a0x00434ac4jmp_0x00404de2, score: 0.988480731396874
Final decision: True, Packer: upx, packer_identification: upx, file_name: streams.exe, end-of-unpacking: a0x00423793jmp_0x00404a16, predicted-end-of-unpacking: a0x00423793jmp_0x00404a16, score: 0.9968190785566972
Final decision: True, Packer: upx, packer_identification: upx, file_name: MailbirdInstaller.exe, end-of-unpacking: a0x005e0e6cjmp_0x0048f113, predicted-end-of-unpacking: a0x005e0e6cjmp_0x0048f113, score: 0.9934293061290502
