This experiments fix wrong packer namePacker names: ['aspack']
File name: accesschk.exe
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: psloglist.exe, end-of-unpacking: a0x0042f425ret, predicted-end-of-unpacking: a0x0042f425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Coreinfo.exe, end-of-unpacking: a0x004dc425ret, predicted-end-of-unpacking: a0x004dc425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: ntfsinfo.exe, end-of-unpacking: a0x00423425ret, predicted-end-of-unpacking: a0x00423425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: livekd.exe, end-of-unpacking: a0x0049d425ret, predicted-end-of-unpacking: a0x0049d425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: PsInfo.exe, end-of-unpacking: a0x00455425ret, predicted-end-of-unpacking: a0x00455425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: ru.exe, end-of-unpacking: a0x00424425ret, predicted-end-of-unpacking: a0x00424425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Autologon.exe, end-of-unpacking: a0x00423425ret, predicted-end-of-unpacking: a0x00423425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: efsdump.exe, end-of-unpacking: a0x00424425ret, predicted-end-of-unpacking: a0x00424425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: PsService.exe, end-of-unpacking: a0x00430425ret, predicted-end-of-unpacking: a0x00430425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: hex2dec.exe, end-of-unpacking: a0x00427425ret, predicted-end-of-unpacking: a0x00427425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: ldmdump.exe, end-of-unpacking: a0x00425425ret, predicted-end-of-unpacking: a0x00425425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: pipelist.exe, end-of-unpacking: a0x00435425ret, predicted-end-of-unpacking: a0x00435425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: streams.exe, end-of-unpacking: a0x00422425ret, predicted-end-of-unpacking: a0x00422425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: psping.exe, end-of-unpacking: a0x00441425ret, predicted-end-of-unpacking: a0x00441425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: pssuspend.exe, end-of-unpacking: a0x00448425ret, predicted-end-of-unpacking: a0x00448425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: logonsessions.exe, end-of-unpacking: a0x00438425ret, predicted-end-of-unpacking: a0x00438425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: sysexp.exe, end-of-unpacking: a0x00414425ret, predicted-end-of-unpacking: a0x00414425ret, score: 0.9832173353270969
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: psshutdown.exe, end-of-unpacking: a0x00433425ret, predicted-end-of-unpacking: a0x00433425ret, score: 0.9810133834487657
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Procmon.exe, end-of-unpacking: a0x00617425ret, predicted-end-of-unpacking: a0x00617425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: ADInsight.exe, end-of-unpacking: a0x00826425ret, predicted-end-of-unpacking: a0x00826425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Cacheset.exe, end-of-unpacking: a0x00426425ret, predicted-end-of-unpacking: a0x00426425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: pskill.exe, end-of-unpacking: a0x00447425ret, predicted-end-of-unpacking: a0x00447425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: accesschk.exe, end-of-unpacking: a0x004c2425ret, predicted-end-of-unpacking: a0x004c2425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Clockres.exe, end-of-unpacking: a0x00423425ret, predicted-end-of-unpacking: a0x00423425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: LoadOrdC.exe, end-of-unpacking: a0x00432425ret, predicted-end-of-unpacking: a0x00432425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: strings.exe, end-of-unpacking: a0x00426425ret, predicted-end-of-unpacking: a0x00426425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Dbgview.exe, end-of-unpacking: a0x00489425ret, predicted-end-of-unpacking: a0x00489425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: PsLoggedon.exe, end-of-unpacking: a0x00427425ret, predicted-end-of-unpacking: a0x00427425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: dxwebsetup.exe, end-of-unpacking: a0x01049425ret, predicted-end-of-unpacking: a0x01049425ret, score: 0.9836410941225836
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x0041c425ret, predicted-end-of-unpacking: a0x0041c425ret, score: 0.9836410941225836
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Desktops.exe, end-of-unpacking: a0x00420425ret, predicted-end-of-unpacking: a0x00420425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: adrestore.exe, end-of-unpacking: a0x00425425ret, predicted-end-of-unpacking: a0x00425425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: pendmoves.exe, end-of-unpacking: a0x00424425ret, predicted-end-of-unpacking: a0x00424425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: AccessEnum.exe, end-of-unpacking: a0x0042a425ret, predicted-end-of-unpacking: a0x0042a425ret, score: 0.9836410941225834
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: pspasswd.exe, end-of-unpacking: a0x00427425ret, predicted-end-of-unpacking: a0x00427425ret, score: 0.9685198506074751
