This experiments fix wrong packer namePacker names: ['fsg']
File name: accesschk.exe
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: regjump.exe, end-of-unpacking: a0x0042a0e1je_0x00404256, predicted-end-of-unpacking: a0x0042a0e1je_0x00404256, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: junction.exe, end-of-unpacking: a0x0044c0e1je_0x004064ac, predicted-end-of-unpacking: a0x0044c0e1je_0x004064ac, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: logonsessions.exe, end-of-unpacking: a0x004560e1je_0x00405f5b, predicted-end-of-unpacking: a0x004560e1je_0x00405f5b, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: pagedfrg.exe, end-of-unpacking: a0x0046a0e1je_0x00403d50, predicted-end-of-unpacking: a0x0046a0e1je_0x00403d50, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: psloglist.exe, end-of-unpacking: a0x004430e1je_0x00409955, predicted-end-of-unpacking: a0x004430e1je_0x00409955, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Tcpvcon.exe, end-of-unpacking: a0x0044d0e1je_0x00408fd4, predicted-end-of-unpacking: a0x0044d0e1je_0x00408fd4, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: diskext.exe, end-of-unpacking: a0x004310e1je_0x0040480c, predicted-end-of-unpacking: a0x004310e1je_0x0040480c, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: ShareEnum.exe, end-of-unpacking: a0x004550e1je_0x00409013, predicted-end-of-unpacking: a0x004550e1je_0x00409013, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Volumeid.exe, end-of-unpacking: a0x0044f0e1je_0x00405f50, predicted-end-of-unpacking: a0x0044f0e1je_0x00405f50, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Diskmon.exe, end-of-unpacking: a0x0044c0e1je_0x0040b4b8, predicted-end-of-unpacking: a0x0044c0e1je_0x0040b4b8, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x004250e1je_0x0040d42a, predicted-end-of-unpacking: a0x004250e1je_0x0040d42a, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: procdump.exe, end-of-unpacking: a0x005100e1je_0x004171e7, predicted-end-of-unpacking: a0x005100e1je_0x004171e7, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: PsInfo.exe, end-of-unpacking: a0x004870e1je_0x0040a0cf, predicted-end-of-unpacking: a0x004870e1je_0x0040a0cf, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: pipelist.exe, end-of-unpacking: a0x0044a0e1je_0x0040550b, predicted-end-of-unpacking: a0x0044a0e1je_0x0040550b, score: 1.0000000000000002
