This experiments fix wrong packer namePacker names: ['jdpack']
File name: accesschk.exe
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: Listdlls.exe, end-of-unpacking: a0x00469416ret, predicted-end-of-unpacking: a0x00469416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: sysexp.exe, end-of-unpacking: a0x00414416ret, predicted-end-of-unpacking: a0x00414416ret, score: 0.9985027515922006
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: pendmoves.exe, end-of-unpacking: a0x00424416ret, predicted-end-of-unpacking: a0x00424416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: md5v11026.exe, end-of-unpacking: a0x00460416ret, predicted-end-of-unpacking: a0x00460416ret, score: 0.9671582013696816
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: 7za.exe, end-of-unpacking: a0x0047e416ret, predicted-end-of-unpacking: a0x0047e416ret, score: 0.9886215657976959
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: notmyfaultc.exe, end-of-unpacking: a0x0043f416ret, predicted-end-of-unpacking: a0x0043f416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: PsService.exe, end-of-unpacking: a0x00430416ret, predicted-end-of-unpacking: a0x00430416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: pslist.exe, end-of-unpacking: a0x0042d416ret, predicted-end-of-unpacking: a0x0042d416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: portmon.exe, end-of-unpacking: a0x004db416ret, predicted-end-of-unpacking: a0x004db416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: ru.exe, end-of-unpacking: a0x00424416ret, predicted-end-of-unpacking: a0x00424416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: streams.exe, end-of-unpacking: a0x00422416ret, predicted-end-of-unpacking: a0x00422416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: pskill.exe, end-of-unpacking: a0x00447416ret, predicted-end-of-unpacking: a0x00447416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: pspasswd.exe, end-of-unpacking: a0x00427416ret, predicted-end-of-unpacking: a0x00427416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: psping.exe, end-of-unpacking: a0x00441416ret, predicted-end-of-unpacking: a0x00441416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: livekd.exe, end-of-unpacking: a0x0049d416ret, predicted-end-of-unpacking: a0x0049d416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: logonsessions.exe, end-of-unpacking: a0x00438416ret, predicted-end-of-unpacking: a0x00438416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: pagedfrg.exe, end-of-unpacking: a0x00457416ret, predicted-end-of-unpacking: a0x00457416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: Sysmon.exe, end-of-unpacking: a0x006bb416ret, predicted-end-of-unpacking: a0x006bb416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: md5v12005.exe, end-of-unpacking: a0x00481416ret, predicted-end-of-unpacking: a0x00481416ret, score: 0.9671582013696816
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: ntfsinfo.exe, end-of-unpacking: a0x00423416ret, predicted-end-of-unpacking: a0x00423416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: junction.exe, end-of-unpacking: a0x00436416ret, predicted-end-of-unpacking: a0x00436416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: PsGetsid.exe, end-of-unpacking: a0x0044a416ret, predicted-end-of-unpacking: a0x0044a416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: RAMMap.exe, end-of-unpacking: a0x0049e416ret, predicted-end-of-unpacking: a0x0049e416ret, score: 0.9996812455182221
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x00419416ret, predicted-end-of-unpacking: a0x00419416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: strings.exe, end-of-unpacking: a0x00426416ret, predicted-end-of-unpacking: a0x00426416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: procdump.exe, end-of-unpacking: a0x004a1416ret, predicted-end-of-unpacking: a0x004a1416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: pssuspend.exe, end-of-unpacking: a0x00448416ret, predicted-end-of-unpacking: a0x00448416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: psfile.exe, end-of-unpacking: a0x00425416ret, predicted-end-of-unpacking: a0x00425416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: 7z.exe, end-of-unpacking: a0x00418416ret, predicted-end-of-unpacking: a0x00418416ret, score: 0.9691006051310781
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: md5v11.exe, end-of-unpacking: a0x0046d416ret, predicted-end-of-unpacking: a0x0046d416ret, score: 0.9671582013696816
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: AccessEnum.exe, end-of-unpacking: a0x0042a416ret, predicted-end-of-unpacking: a0x0042a416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: vmmap.exe, end-of-unpacking: a0x00540416ret, predicted-end-of-unpacking: a0x00540416ret, score: 0.9996812455182221
