This experiments fix wrong packer namePacker names: ['packman']
File name: accesschk.exe
Final decision: True, Packer: packman, packer_identification: packman, file_name: psping.exe, end-of-unpacking: a0x0044180cjmp_0x004115cc, predicted-end-of-unpacking: a0x0044180cjmp_0x004115cc, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: md5v11026.exe, end-of-unpacking: a0x004606c0jmp_0x004039d8, predicted-end-of-unpacking: a0x004606c0jmp_0x004039d8, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: MailbirdInstaller.exe, end-of-unpacking: a0x00601330jmp_0x0048f113, predicted-end-of-unpacking: a0x00601330jmp_0x0048f113, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: SearchMyFiles.exe, end-of-unpacking: a0x00429cc0jmp_0x00418100, predicted-end-of-unpacking: a0x00429cc0jmp_0x00418100, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: regjump.exe, end-of-unpacking: a0x0041e6f8jmp_0x00404256, predicted-end-of-unpacking: a0x0041e6f8jmp_0x00404256, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: HashCalc.exe, end-of-unpacking: a0x00483180jmp_0x00411e58, predicted-end-of-unpacking: a0x00483180jmp_0x00411e58, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: adrestore.exe, end-of-unpacking: a0x0042520cjmp_0x00402471, predicted-end-of-unpacking: a0x0042520cjmp_0x00402471, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: Coreinfo.exe, end-of-unpacking: a0x004dc914jmp_0x00407474, predicted-end-of-unpacking: a0x004dc914jmp_0x00407474, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: md5summer.exe, end-of-unpacking: a0x004eac64jmp_0x0049ec68, predicted-end-of-unpacking: a0x004eac64jmp_0x0049ec68, score: 0.9521672840690655
Final decision: True, Packer: packman, packer_identification: packman, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x0041e4e8jmp_0x0040e1d0, predicted-end-of-unpacking: a0x0041e4e8jmp_0x0040e1d0, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: pssuspend.exe, end-of-unpacking: a0x00448820jmp_0x004074fe, predicted-end-of-unpacking: a0x00448820jmp_0x004074fe, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: FullEventLogView.exe, end-of-unpacking: a0x00421730jmp_0x00411228, predicted-end-of-unpacking: a0x00421730jmp_0x00411228, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: Autologon.exe, end-of-unpacking: a0x00423974jmp_0x00403980, predicted-end-of-unpacking: a0x00423974jmp_0x00403980, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: accesschk.exe, end-of-unpacking: a0x004c2ab8jmp_0x0040c429, predicted-end-of-unpacking: a0x004c2ab8jmp_0x0040c429, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: LoadOrd.exe, end-of-unpacking: a0x0042ac70jmp_0x00404e14, predicted-end-of-unpacking: a0x0042ac70jmp_0x00404e14, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: handle.exe, end-of-unpacking: a0x004747d4jmp_0x00407336, predicted-end-of-unpacking: a0x004747d4jmp_0x00407336, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: Clockres.exe, end-of-unpacking: a0x00423730jmp_0x00404002, predicted-end-of-unpacking: a0x00423730jmp_0x00404002, score: 1.0000000000000002
