This experiments fix wrong packer namePacker names: ['pecompact']
File name: accesschk.exe
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: efsdump.exe, end-of-unpacking: a0x00424d26jmp_eax, predicted-end-of-unpacking: a0x00424d26jmp_eax, score: 0.9871617609224782
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x0041f202jmp_eax, predicted-end-of-unpacking: a0x0041f202jmp_eax, score: 0.9865368529601813
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: ldmdump.exe, end-of-unpacking: a0x00425d26jmp_eax, predicted-end-of-unpacking: a0x00425d26jmp_eax, score: 0.9865368529601815
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: pendmoves.exe, end-of-unpacking: a0x0042530ejmp_eax, predicted-end-of-unpacking: a0x0042530ejmp_eax, score: 0.9851591506406482
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: psfile.exe, end-of-unpacking: a0x00426276jmp_eax, predicted-end-of-unpacking: a0x00426276jmp_eax, score: 0.9865368529601815
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: notmyfaultc.exe, end-of-unpacking: a0x0045018ejmp_eax, predicted-end-of-unpacking: a0x0045018ejmp_eax, score: 0.9851591506406482
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: regjump.exe, end-of-unpacking: a0x0041f266jmp_eax, predicted-end-of-unpacking: a0x0041f266jmp_eax, score: 0.9871617609224781
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: pskill.exe, end-of-unpacking: a0x0044838ajmp_eax, predicted-end-of-unpacking: a0x0044838ajmp_eax, score: 0.9838940096317071
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: RegDelNull.exe, end-of-unpacking: a0x004273a2jmp_eax, predicted-end-of-unpacking: a0x004273a2jmp_eax, score: 0.9851591506406482
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: psshutdown.exe, end-of-unpacking: a0x004342aejmp_eax, predicted-end-of-unpacking: a0x004342aejmp_eax, score: 0.9871617609224782
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: LoadOrd.exe, end-of-unpacking: a0x0042b7eejmp_eax, predicted-end-of-unpacking: a0x0042b7eejmp_eax, score: 0.9851591506406485
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: sysexp.exe, end-of-unpacking: a0x00415faejmp_eax, predicted-end-of-unpacking: a0x00415faejmp_eax, score: 0.9865368529601813
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: FolderTimeUpdate.exe, end-of-unpacking: a0x0041bed2jmp_eax, predicted-end-of-unpacking: a0x0041bed2jmp_eax, score: 0.9865368529601817
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: sdelete.exe, end-of-unpacking: a0x004292e2jmp_eax, predicted-end-of-unpacking: a0x004292e2jmp_eax, score: 0.9851591506406482
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: PEview.exe, end-of-unpacking: a0x0041710ejmp_eax, predicted-end-of-unpacking: a0x0041710ejmp_eax, score: 0.9865368529601813
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: ru.exe, end-of-unpacking: a0x00425262jmp_eax, predicted-end-of-unpacking: a0x00425262jmp_eax, score: 0.9865368529601815
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: PsExec.exe, end-of-unpacking: a0x0047e416jmp_eax, predicted-end-of-unpacking: a0x0047e416jmp_eax, score: 0.983361410779015
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: hex2dec.exe, end-of-unpacking: a0x00428302jmp_eax, predicted-end-of-unpacking: a0x00428302jmp_eax, score: 0.9871617609224781
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: AccessEnum.exe, end-of-unpacking: a0x0042c626jmp_eax, predicted-end-of-unpacking: a0x0042c626jmp_eax, score: 0.9759528300095675
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: notmyfault.exe, end-of-unpacking: a0x0044e18ejmp_eax, predicted-end-of-unpacking: a0x0044e18ejmp_eax, score: 0.9871617609224784
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: pagedfrg.exe, end-of-unpacking: a0x0045898ejmp_eax, predicted-end-of-unpacking: a0x0045898ejmp_eax, score: 0.9865368529601813
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: logonsessions.exe, end-of-unpacking: a0x0043956ejmp_eax, predicted-end-of-unpacking: a0x0043956ejmp_eax, score: 0.9759528300095676
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: ShellRunas.exe, end-of-unpacking: a0x00419e22jmp_eax, predicted-end-of-unpacking: a0x00419e22jmp_eax, score: 0.987161760922478
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: streams.exe, end-of-unpacking: a0x00423286jmp_eax, predicted-end-of-unpacking: a0x00423286jmp_eax, score: 0.9871617609224784
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: sync.exe, end-of-unpacking: a0x004262d2jmp_eax, predicted-end-of-unpacking: a0x004262d2jmp_eax, score: 0.9851591506406482
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: ntfsinfo.exe, end-of-unpacking: a0x00424276jmp_eax, predicted-end-of-unpacking: a0x00424276jmp_eax, score: 0.9871617609224781
Final decision: True, Packer: pecompact, packer_identification: pecompact, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x0041c14ejmp_eax, predicted-end-of-unpacking: a0x0041c14ejmp_eax, score: 0.9871617609224784
The accuracy of packer: pecompact is 1.0
