This experiments fix wrong packer namePacker names: ['petitepacked']
File name: accesschk.exe
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: rrdec.exe, end-of-unpacking: a0x0041710bjmp_0x00401160, predicted-end-of-unpacking: a0x0041710bjmp_0x00401160, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: sysexp.exe, end-of-unpacking: a0x0041410bjmp_0x0040acb2, predicted-end-of-unpacking: a0x0041410bjmp_0x0040acb2, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x0041c10bjmp_0x0040e1d0, predicted-end-of-unpacking: a0x0041c10bjmp_0x0040e1d0, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: Mode2CDMaker.exe, end-of-unpacking: a0x0041b10bjmp_0x00401160, predicted-end-of-unpacking: a0x0041b10bjmp_0x00401160, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: dvd+rw-mediainfo.exe, end-of-unpacking: a0x0040d10bjmp_0x00401130, predicted-end-of-unpacking: a0x0040d10bjmp_0x00401130, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: Hasher.exe, end-of-unpacking: a0x004a710bjmp_0x00482628, predicted-end-of-unpacking: a0x004a710bjmp_0x00482628, score: 0.9978637757519417
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x0041910bjmp_0x0040d42a, predicted-end-of-unpacking: a0x0041910bjmp_0x0040d42a, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: m2cdm.exe, end-of-unpacking: a0x0041b10bjmp_0x00401160, predicted-end-of-unpacking: a0x0041b10bjmp_0x00401160, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: 7za.exe, end-of-unpacking: a0x0047e10bjmp_0x00455641, predicted-end-of-unpacking: a0x0047e10bjmp_0x00455641, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: FileTypesMan.exe, end-of-unpacking: a0x0041e10bjmp_0x004109f0, predicted-end-of-unpacking: a0x0041e10bjmp_0x004109f0, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: HashCalc.exe, end-of-unpacking: a0x0048210bjmp_0x00411e58, predicted-end-of-unpacking: a0x0048210bjmp_0x00411e58, score: 1.0000000000000002
