This experiments fix wrong packer namePacker names: ['telock']
File name: accesschk.exe
Final decision: True, Packer: telock, packer_identification: telock, file_name: gui-32.exe, end-of-unpacking: a0x004157c9jmp__48esp_, predicted-end-of-unpacking: a0x004157c9jmp__48esp_, score: 0.9969895786537831
Final decision: True, Packer: telock, packer_identification: telock, file_name: DocFetcher-2048_64-bit-Java.exe, end-of-unpacking: a0x00417799jmp__48esp_, predicted-end-of-unpacking: a0x00417799jmp__48esp_, score: 0.9980928191664554
Final decision: True, Packer: telock, packer_identification: telock, file_name: PEview.exe, end-of-unpacking: a0x004167c9jmp__48esp_, predicted-end-of-unpacking: a0x004167c9jmp__48esp_, score: 0.9966358008229413
Final decision: True, Packer: telock, packer_identification: telock, file_name: FileAssociation.exe, end-of-unpacking: a0x004147c9jmp__48esp_, predicted-end-of-unpacking: a0x004147c9jmp__48esp_, score: 0.9966358008229413
Final decision: True, Packer: telock, packer_identification: telock, file_name: rrdec.exe, end-of-unpacking: a0x004187adjmp__48esp_, predicted-end-of-unpacking: a0x004187adjmp__48esp_, score: 0.9923035274779852
Final decision: True, Packer: telock, packer_identification: telock, file_name: DocFetcher-768.exe, end-of-unpacking: a0x00417799jmp__48esp_, predicted-end-of-unpacking: a0x00417799jmp__48esp_, score: 0.9980928191664554
Final decision: True, Packer: telock, packer_identification: telock, file_name: HashCalc.exe, end-of-unpacking: a0x004837c9jmp__48esp_, predicted-end-of-unpacking: a0x004837c9jmp__48esp_, score: 0.9966358008229413
Final decision: True, Packer: telock, packer_identification: telock, file_name: gspawn-win32-helper.exe, end-of-unpacking: a0x0040d7c9jmp__48esp_, predicted-end-of-unpacking: a0x0040d7c9jmp__48esp_, score: 0.9955266262384016
Final decision: True, Packer: telock, packer_identification: telock, file_name: gzip.exe, end-of-unpacking: a0x004667c9jmp__48esp_, predicted-end-of-unpacking: a0x004667c9jmp__48esp_, score: 0.9966358008229413
Final decision: True, Packer: telock, packer_identification: telock, file_name: 7z.exe, end-of-unpacking: a0x004197aejmp__48esp_, predicted-end-of-unpacking: a0x004197aejmp__48esp_, score: 0.9936527918338358
Final decision: True, Packer: telock, packer_identification: telock, file_name: dat2file.exe, end-of-unpacking: a0x00410799jmp__48esp_, predicted-end-of-unpacking: a0x00410799jmp__48esp_, score: 0.9961540476723139
