This experiments fix wrong packer namePacker names: ['winupack']
File name: accesschk.exe
Final decision: False, Packer: winupack, packer_identification: None, file_name: notmyfaultc.exe, end-of-unpacking: a0x00461790jmp_0x00405810, predicted-end-of-unpacking: None, score: 0
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: pskill.exe, end-of-unpacking: a0x0045baebret, predicted-end-of-unpacking: a0x0045baebret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: PEview.exe, end-of-unpacking: a0x0041d743ret, predicted-end-of-unpacking: a0x0041d743ret, score: 1.0000000000000002
Final decision: False, Packer: winupack, packer_identification: None, file_name: RAMMap.exe, end-of-unpacking: a0x004da7dbjmp_0x0041ab3f, predicted-end-of-unpacking: None, score: 0
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: FastHash_kr.exe, end-of-unpacking: a0x004aa6bfret, predicted-end-of-unpacking: a0x004aa6bfret, score: 1.0000000000000002
Final decision: False, Packer: winupack, packer_identification: None, file_name: notmyfault.exe, end-of-unpacking: a0x0045ef0cjmp_0x00404f25, predicted-end-of-unpacking: None, score: 0
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: FileTypesMan.exe, end-of-unpacking: a0x0042b3ffret, predicted-end-of-unpacking: a0x0042b3ffret, score: 1.0000000000000002
Final decision: False, Packer: winupack, packer_identification: None, file_name: Hasher.exe, end-of-unpacking: a0x004e6999jmp_0x00482628, predicted-end-of-unpacking: None, score: 0
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x00424e6fret, predicted-end-of-unpacking: a0x00424e6fret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: HWMonitorPro_x32.exe, end-of-unpacking: a0x0069879fret, predicted-end-of-unpacking: a0x0069879fret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: Tcpvcon.exe, end-of-unpacking: a0x00448f8bret, predicted-end-of-unpacking: a0x00448f8bret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: PsLoggedon.exe, end-of-unpacking: a0x00435123ret, predicted-end-of-unpacking: a0x00435123ret, score: 1.0000000000000002
Final decision: False, Packer: winupack, packer_identification: None, file_name: PortableWinCDEmu-4.0.exe, end-of-unpacking: a0x004ecceajmp_0x0041216a, predicted-end-of-unpacking: None, score: 0
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: portmon.exe, end-of-unpacking: a0x004fec77ret, predicted-end-of-unpacking: a0x004fec77ret, score: 1.0000000000000002
Final decision: False, Packer: winupack, packer_identification: None, file_name: ADInsight.exe, end-of-unpacking: a0x008a36d5jmp_0x00434dac, predicted-end-of-unpacking: None, score: 0
Final decision: False, Packer: winupack, packer_identification: None, file_name: du.exe, end-of-unpacking: a0x0043bd4fjmp_0x004068c9, predicted-end-of-unpacking: None, score: 0
Final decision: False, Packer: winupack, packer_identification: None, file_name: md5summer.exe, end-of-unpacking: a0x0054394bjmp_0x0049ec68, predicted-end-of-unpacking: None, score: 0
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: dxwebsetup.exe, end-of-unpacking: a0x01087823ret, predicted-end-of-unpacking: a0x01087823ret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: PsService.exe, end-of-unpacking: a0x004405dfret, predicted-end-of-unpacking: a0x004405dfret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x00428a03ret, predicted-end-of-unpacking: a0x00428a03ret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: ESEDatabaseView.exe, end-of-unpacking: a0x0042a4afret, predicted-end-of-unpacking: a0x0042a4afret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: DiskView.exe, end-of-unpacking: a0x005c9db3ret, predicted-end-of-unpacking: a0x005c9db3ret, score: 1.0000000000000002
Final decision: True, Packer: winupack, packer_identification: winupack, file_name: ADExplorer.exe, end-of-unpacking: a0x004a3353ret, predicted-end-of-unpacking: a0x004a3353ret, score: 1.0000000000000002
Final decision: False, Packer: winupack, packer_identification: None, file_name: Sysmon.exe, end-of-unpacking: a0x0075c448jmp_0x00443cc8, predicted-end-of-unpacking: None, score: 0
Final decision: False, Packer: winupack, packer_identification: None, file_name: grepWin-1.9.0_portable.exe, end-of-unpacking: a0x0058a713jmp_0x0046db4b, predicted-end-of-unpacking: None, score: 0
Final decision: False, Packer: winupack, packer_identification: None, file_name: whois.exe, end-of-unpacking: a0x004361b4jmp_0x00405536, predicted-end-of-unpacking: None, score: 0
The accuracy of packer: winupack is 0.5769230769230769
