This experiments fix wrong packer namePacker names: ['yodaC']
File name: accesschk.exe
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: accesschk.exe, end-of-unpacking: a0x004c2942ret, predicted-end-of-unpacking: a0x004c2942ret, score: 0.986839615675943
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Diskmon.exe, end-of-unpacking: a0x0043b942ret, predicted-end-of-unpacking: a0x0043b942ret, score: 0.9851014394842994
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Listdlls.exe, end-of-unpacking: a0x00469942ret, predicted-end-of-unpacking: a0x00469942ret, score: 0.9846331978617684
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Contig.exe, end-of-unpacking: a0x00470942ret, predicted-end-of-unpacking: a0x00470942ret, score: 0.9872372265556352
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: ldmdump.exe, end-of-unpacking: a0x00425942ret, predicted-end-of-unpacking: a0x00425942ret, score: 0.9813486539322357
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: pagedfrg.exe, end-of-unpacking: a0x00457942ret, predicted-end-of-unpacking: a0x00457942ret, score: 0.9864451252949082
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: FullEventLogView.exe, end-of-unpacking: a0x0041f942ret, predicted-end-of-unpacking: a0x0041f942ret, score: 0.9846062418195588
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: PsLoggedon.exe, end-of-unpacking: a0x00427942ret, predicted-end-of-unpacking: a0x00427942ret, score: 0.9767108770210384
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: PsService.exe, end-of-unpacking: a0x00430942ret, predicted-end-of-unpacking: a0x00430942ret, score: 0.9874773014868745
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: streams.exe, end-of-unpacking: a0x00422942ret, predicted-end-of-unpacking: a0x00422942ret, score: 0.9860925088120494
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: ShareEnum.exe, end-of-unpacking: a0x00440942ret, predicted-end-of-unpacking: a0x00440942ret, score: 0.9774127318018923
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: PsExec.exe, end-of-unpacking: a0x0047d942ret, predicted-end-of-unpacking: a0x0047d942ret, score: 0.9865190890518526
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: pendmoves.exe, end-of-unpacking: a0x00424942ret, predicted-end-of-unpacking: a0x00424942ret, score: 0.9845241373617886
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: HashCalc.exe, end-of-unpacking: a0x00482942ret, predicted-end-of-unpacking: a0x00482942ret, score: 0.982083935693244
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: EventLogChannelsView.exe, end-of-unpacking: a0x0041c942ret, predicted-end-of-unpacking: a0x0041c942ret, score: 0.9853765649345942
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Cacheset.exe, end-of-unpacking: a0x00426942ret, predicted-end-of-unpacking: a0x00426942ret, score: 0.9860150458402399
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: pssuspend.exe, end-of-unpacking: a0x00448942ret, predicted-end-of-unpacking: a0x00448942ret, score: 0.9880501932433748
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: logonsessions.exe, end-of-unpacking: a0x00438942ret, predicted-end-of-unpacking: a0x00438942ret, score: 0.9857358307858138
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Hash.exe, end-of-unpacking: a0x00412942ret, predicted-end-of-unpacking: a0x00412942ret, score: 0.9853084781781364
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: hex2dec.exe, end-of-unpacking: a0x00427942ret, predicted-end-of-unpacking: a0x00427942ret, score: 0.9849539024771742
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: dxwebsetup.exe, end-of-unpacking: a0x01049942ret, predicted-end-of-unpacking: a0x01049942ret, score: 0.9849958071744014
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: psshutdown.exe, end-of-unpacking: a0x00433942ret, predicted-end-of-unpacking: a0x00433942ret, score: 0.9833345889524824
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: LoadOrd.exe, end-of-unpacking: a0x0042a942ret, predicted-end-of-unpacking: a0x0042a942ret, score: 0.9864995308398051
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: DTCPing.exe, end-of-unpacking: a0x0106b942ret, predicted-end-of-unpacking: a0x0106b942ret, score: 0.9875323948461143
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: psfile.exe, end-of-unpacking: a0x00425942ret, predicted-end-of-unpacking: a0x00425942ret, score: 0.986283468273928
