InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.lf, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.ma, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: upx, file_name: Trojan.Win32.Crypt.oy, predicted-end-of-unpacking: a0x00412babjmp_0x00401000, score: 0.993989342403017
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: upx, file_name: Trojan.Win32.Crypt.sx, predicted-end-of-unpacking: a0x00412c0bjmp_0x00401000, score: 0.993989342403017
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.t, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.td, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.ts, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.uh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.vb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: upx, file_name: Trojan.Win32.Crypt.wp, predicted-end-of-unpacking: a0x00412b9bjmp_0x00401000, score: 0.9939893424030171
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Crypt.xl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.CureICQ, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dbit.e, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Deki.br, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: Upackv0.37-0.39, packer_identification: winupack, file_name: Trojan.Win32.Deki.dq, predicted-end-of-unpacking: a0x004350ebret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.DelCommand.e, predicted-end-of-unpacking: a0x004823bfret, score: 0.9771080060831697
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_5_0.9691977282374356, packer_identification: None, file_name: Trojan.Win32.Delf.a, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ab, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ada, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ads, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.aee, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.aeu, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.afz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.agc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.age, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ahn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ahy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ajk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.akp, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ale, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.alh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.aqd, predicted-end-of-unpacking: a0x004f63bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.94_1_0.9858101257019252, packer_identification: upx, file_name: Trojan.Win32.Delf.art, predicted-end-of-unpacking: a0x0048db73jmp_0x00471358, score: 0.9892592070680999
Inference decision: packer_name_be_pum: ASPackv2.12, packer_identification: aspack, file_name: Trojan.Win32.Delf.asj, predicted-end-of-unpacking: a0x004223bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ba, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.94_1_0.9858101257019252, packer_identification: upx, file_name: Trojan.Win32.Delf.bby, predicted-end-of-unpacking: a0x00411df3jmp_0x004052c4, score: 0.9968190785566972
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bds, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bem, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.beo, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bfk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bfm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bhd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bkz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.blf, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bmx, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: upx, file_name: Trojan.Win32.Delf.bnq, predicted-end-of-unpacking: a0x00496211jmp_0x00491009, score: 0.6965756060295006
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bpg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bpw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.bpz, predicted-end-of-unpacking: a0x004883bfret, score: 0.9758172600550229
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bqb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.brh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bri, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.brv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.0_2_0.9574807873839912, packer_identification: None, file_name: Trojan.Win32.Delf.bur, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bvd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bve, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bvg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bwj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.byo, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.byt, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bzh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.bzn, predicted-end-of-unpacking: a0x005413bfret, score: 0.9736505754918346
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.bzq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cad, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.caf, predicted-end-of-unpacking: a0x005413bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cal, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cbd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cbk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cbw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.ccv, predicted-end-of-unpacking: a0x005413bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.ccy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Delf.cdh, predicted-end-of-unpacking: a0x00487634jmp_0x00468fb0, score: 0.9812231333137875
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cdz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cet, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.cey, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: Upackv0.37-0.39, packer_identification: winupack, file_name: Trojan.Win32.Delf.cfk, predicted-end-of-unpacking: a0x00408813ret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: ASPackv2.12, packer_identification: aspack, file_name: Trojan.Win32.Delf.cfm, predicted-end-of-unpacking: a0x004223bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cio, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: ASPackv2.12, packer_identification: aspack, file_name: Trojan.Win32.Delf.cjc, predicted-end-of-unpacking: a0x0041f3bfret, score: 0.9758172600550229
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cjr, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.clb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cmo, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: ASPackv2.12, packer_identification: aspack, file_name: Trojan.Win32.Delf.cng, predicted-end-of-unpacking: a0x004563bfret, score: 0.9743263469438611
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.cof, predicted-end-of-unpacking: a0x0046e3bfret, score: 0.9758172600550229
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.cpe, predicted-end-of-unpacking: a0x004583bfret, score: 0.9743263469438611
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cpn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cqa, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cqn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cqu, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cr, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.csk, predicted-end-of-unpacking: a0x004f13bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: CustomPacked_Upackv0.37-0.39_1_0.9029468494566416, packer_identification: winupack, file_name: Trojan.Win32.Delf.csx, predicted-end-of-unpacking: a0x004058ffret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: PETITEv2.4, packer_identification: None, file_name: Trojan.Win32.Delf.ctn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cun, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.cur, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cux, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cvq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cwa, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cww, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cxw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.czq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.da, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.daa, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: ASPackv2.12, packer_identification: aspack, file_name: Trojan.Win32.Delf.dag, predicted-end-of-unpacking: a0x131533bfret, score: 0.9736505754918344
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dah, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dan, predicted-end-of-unpacking: None, score: 0
