InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.BHO.gay, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.yko, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.yof, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.yor, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.yra, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.yua, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.yut, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.ywo, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.ywq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.yzw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zbd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zbs, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zco, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zdn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: None, file_name: Trojan.Win32.Buzus.zfj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zfx, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: MPRESSv1.0, packer_identification: MPRESS, file_name: Trojan.Win32.Buzus.zhx, predicted-end-of-unpacking: a0x100078d8jmp_0x10001005, score: 0.7636715943472883
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zjv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zkc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.94_1_0.9858101257019252, packer_identification: upx, file_name: Trojan.Win32.Buzus.znh, predicted-end-of-unpacking: a0x1002d61bjmp_0x100127d4, score: 0.993989342403017
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zob, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zpa, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zrq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zug, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zuv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zvc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zvu, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: KKRUNCHYv1.0, packer_identification: None, file_name: Trojan.Win32.Buzus.zxd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Buzus.zxh, predicted-end-of-unpacking: None, score: 0
