InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bkff, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bkjg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bknv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bkqd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bktf, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: upx, file_name: Backdoor.Win32.Hupigon.bkxr, predicted-end-of-unpacking: a0x0049027ajmp_0x0048b034, score: 0.6988282408355639
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blax, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bld, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blf, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blfy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blgl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blqz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blwj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blxb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: PETITEv2.4, packer_identification: None, file_name: Backdoor.Win32.Hupigon.blxs, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bmh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bmhe, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bmhj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bmil, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bmix, predicted-end-of-unpacking: None, score: 0
