pecompact_efsdump.exe,a0x00402138pushl_ebp
pecompact_TaskSchedulerView.exe,a0x0040e1d0pushl_0x70UINT8
pecompact_ldmdump.exe,a0x00403024pushl_ebp
pecompact_pendmoves.exe,a0x00404452call_0x0040a0f7
pecompact_OpenedFilesView.exe,a0x0040fc10pushl_0x70UINT8
pecompact_psfile.exe,a0x004054a0call_0x0040c3c8
pecompact_PsService.exe,a0x00407f52call_0x0040ee6d
pecompact_notmyfaultc.exe,a0x00405810call_0x0040be0e
pecompact_regjump.exe,a0x00404256call_0x00407e3c
pecompact_gc.exe,None
pecompact_pskill.exe,a0x0040763ecall_0x0040e000
pecompact_DriverView.exe,None
pecompact_RegDelNull.exe,a0x00405426call_0x0040b428
pecompact_psshutdown.exe,a0x0040677fcall_0x0040d869
pecompact_LoadOrd.exe,a0x00404e14call_0x0040a823
pecompact_sysexp.exe,a0x0040acb2pushl_0x70UINT8
pecompact_FolderTimeUpdate.exe,a0x0040c3a6pushl_0x70UINT8
pecompact_movefile.exe,None
pecompact_grepWin-1.9.0_portable.exe,None
pecompact_sdelete.exe,a0x0040699fcall_0x0040d4ea
pecompact_PEview.exe,a0x00401000call_0x004010dc
pecompact_Snap2HTML.exe,None
pecompact_ru.exe,a0x0040570ccall_0x0040b2c6
pecompact_PsExec.exe,a0x00409de6call_0x00411500
pecompact_hex2dec.exe,a0x004047afcall_0x0040b7c1
pecompact_WinAudit.exe,None
pecompact_AccessEnum.exe,a0x00407a98pushl_ebp
pecompact_ESEDatabaseView.exe,None
pecompact_notmyfault.exe,a0x00404f25call_0x0040ad0e
pecompact_pagedfrg.exe,a0x00403d50pushl_ebp
pecompact_logonsessions.exe,a0x00405f5bcall_0x0040e5f5
pecompact_whois.exe,None
pecompact_ShellRunas.exe,a0x00403ba0call_0x00407acc
pecompact_streams.exe,a0x00404a16call_0x0040a24b
pecompact_sync.exe,a0x004049fecall_0x0040a3a4
pecompact_ntfsinfo.exe,a0x004046afcall_0x0040a533
pecompact_InstalledPackagesView.exe,a0x0040d42apushl_0x70UINT8
pecompact_Hash.exe,a0x0040532cpushl_ebp
