telock_gui-32.exe,a0x00402613call_0x00406507
telock_Hash.exe,a0x0040532cpushl_ebp
telock_DocFetcher-2048_64-bit-Java.exe,a0x00401290pushl_ebp
telock_PEview.exe,a0x00401000call_0x004010dc
telock_FileAssociation.exe,a0x00402686call_0x0040519d
telock_rrdec.exe,a0x00401160pushl_ebp
telock_DocFetcher-768.exe,a0x00401290pushl_ebp
telock_HashCalc.exe,a0x00411e58pushl_ebp
telock_gspawn-win32-helper.exe,a0x00401590subl_0x1cUINT8_esp
telock_gzip.exe,a0x00401280pushl_ebp
telock_7z.exe,a0x0040ebc5pushl_ebp
telock_dat2file.exe,a0x00401160pushl_ebp
telock_ditrace.exe,a0x004278d6call_0x427552
telock_WinList.exe,a0x00401240pushl_ebp
telock_BatteryInfoView.exe,a0x0040be9apushl_0x70UINT8
telock_DocFetcher-512.exe,a0x00401290pushl_ebp
telock_DocFetcher-8192_64-bit-Java.exe,a0x00401290pushl_ebp
telock_m2cdm.exe,a0x00401160pushl_ebp
telock_DocFetcher-1024.exe,a0x00401290pushl_ebp
telock_rrenc.exe,a0x00401160pushl_ebp
telock_Mode2CDMaker.exe,a0x00401160pushl_ebp
telock_csrstub.exe,a0x010028a7call_0x010043c1
telock_auditpolreskit.exe,a0x010023d0pushl_ebp
telock_diff.exe,a0x004011d4pushl_ebp
telock_wabread.exe,a0x00401270pushl_ebp
telock_DocFetcher-256.exe,a0x00401290pushl_ebp
telock_gspawn-win32-helper-console.exe,a0x00401570subl_0x1cUINT8_esp
telock_DocFetcher-4096_64-bit-Java.exe,a0x00401290pushl_ebp
telock_AkelAdmin.exe,a0x00401860pushl_ebp
