yodaC_accesschk.exe,a0x0040c429call_0x00414ad4
yodaC_Autoruns.exe,None
yodaC_Diskmon.exe,a0x0040b4b8pushl_ebp
yodaC_Listdlls.exe,a0x00409666call_0x00414903
yodaC_Kalmuri.exe,None
yodaC_sigcheck.exe,None
yodaC_Contig.exe,a0x00407f58call_0x00413cd6
yodaC_ldmdump.exe,a0x00403024pushl_ebp
yodaC_dfrgui.exe,None
yodaC_procdump.exe,a0x004171e7call_0x00421d99
yodaC_pagedfrg.exe,a0x00403d50pushl_ebp
yodaC_FullEventLogView.exe,a0x00411228pushl_0x70UINT8
yodaC_PsLoggedon.exe,a0x00405926call_0x0040ca32
yodaC_PsService.exe,a0x00407f52call_0x0040ee6d
yodaC_streams.exe,a0x00404a16call_0x0040a24b
yodaC_ShareEnum.exe,a0x00409013pushl_ebp
yodaC_pywin32-221.win32-py2.7.exe,None
yodaC_calc.exe,None
yodaC_PsExec.exe,a0x00409de6call_0x00411500
yodaC_pendmoves.exe,a0x00404452call_0x0040a0f7
yodaC_HashCalc.exe,a0x00411e58pushl_ebp
yodaC_EventLogChannelsView.exe,a0x0040e52epushl_0x70UINT8
yodaC_DarkNamer.exe,None
yodaC_autorunsc.exe,None
yodaC_Cacheset.exe,a0x004024a2pushl_ebp
yodaC_PEview.exe,a0x00401000call_0x004010dc
yodaC_pssuspend.exe,a0x004074fecall_0x0040de85
yodaC_logonsessions.exe,a0x00405f5bcall_0x0040e5f5
yodaC_Hash.exe,a0x0040532cpushl_ebp
yodaC_PUTTYGEN_32.EXE,None
yodaC_hex2dec.exe,a0x004047afcall_0x0040b7c1
yodaC_dxwebsetup.exe,a0x01005a5epushl_ebp
yodaC_psshutdown.exe,a0x0040677fcall_0x0040d869
yodaC_LoadOrd.exe,a0x00404e14call_0x0040a823
yodaC_whois.exe,None
yodaC_DTCPing.exe,a0x0100645ccall_0x0100646b
yodaC_psfile.exe,a0x004054a0call_0x0040c3c8
yodaC_notmyfault.exe,a0x00404f25call_0x0040ad0e
yodaC_FolderTimeUpdate.exe,a0x0040c3a6pushl_0x70UINT8
yodaC_Start_Here_Win.exe,None
yodaC_ZoomIt.exe,None
yodaC_strings.exe,a0x004058a6call_0x0040bee8
yodaC_ESEDatabaseView.exe,a0x0040feeapushl_0x70UINT8
yodaC_TaskSchedulerView.exe,a0x0040e1d0pushl_0x70UINT8
